[info] offlined cpu3..cpu3 to isolate the active cores
[info] cpu0..cpu2 locked to 1600000 kHz via 'performance' governor (user-specified)
# multi_proc_pmu: samples=100, active_cores=3, lock_freq_khz=1600000
# cpu0=iir (measured)  cpu1=MEM  cpu2=PIPELINE
[sample=0] cpu=0 bench=iir cycles=34554 instructions=2593 cache-misses=15
[sample=24] cpu=0 bench=iir cycles=3493 instructions=2588 cache-misses=0
[sample=25] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=0
[sample=26] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=0
[sample=27] cpu=0 bench=iir cycles=3451 instructions=2588 cache-misses=0
[sample=28] cpu=0 bench=iir cycles=3486 instructions=2588 cache-misses=0
[sample=29] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=1
[sample=30] cpu=0 bench=iir cycles=3478 instructions=2588 cache-misses=0
[sample=31] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=0
[sample=32] cpu=0 bench=iir cycles=3504 instructions=2588 cache-misses=0
[sample=33] cpu=0 bench=iir cycles=3474 instructions=2588 cache-misses=0
[sample=34] cpu=0 bench=iir cycles=3471 instructions=2588 cache-misses=1
[sample=35] cpu=0 bench=iir cycles=3470 instructions=2588 cache-misses=1
[sample=36] cpu=0 bench=iir cycles=3453 instructions=2588 cache-misses=1
[sample=37] cpu=0 bench=iir cycles=3488 instructions=2588 cache-misses=0
[sample=38] cpu=0 bench=iir cycles=3485 instructions=2588 cache-misses=0
[sample=39] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=0
[sample=40] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=0
[sample=41] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=0
[sample=42] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=0
[sample=43] cpu=0 bench=iir cycles=3506 instructions=2588 cache-misses=0
[sample=44] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=0
[sample=45] cpu=0 bench=iir cycles=3496 instructions=2588 cache-misses=0
[sample=46] cpu=0 bench=iir cycles=3495 instructions=2588 cache-misses=0
[sample=47] cpu=0 bench=iir cycles=3480 instructions=2588 cache-misses=0
[sample=48] cpu=0 bench=iir cycles=3482 instructions=2588 cache-misses=0
[sample=49] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=0
[sample=50] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=0
[sample=51] cpu=0 bench=iir cycles=3474 instructions=2588 cache-misses=0
[sample=52] cpu=0 bench=iir cycles=3511 instructions=2588 cache-misses=0
[sample=53] cpu=0 bench=iir cycles=3534 instructions=2589 cache-misses=3
[sample=54] cpu=0 bench=iir cycles=3501 instructions=2588 cache-misses=2
[sample=55] cpu=0 bench=iir cycles=3468 instructions=2588 cache-misses=0
[sample=56] cpu=0 bench=iir cycles=3507 instructions=2589 cache-misses=0
[sample=57] cpu=0 bench=iir cycles=3545 instructions=2588 cache-misses=4
[sample=58] cpu=0 bench=iir cycles=3488 instructions=2589 cache-misses=1
[sample=59] cpu=0 bench=iir cycles=3495 instructions=2589 cache-misses=0
[sample=60] cpu=0 bench=iir cycles=3514 instructions=2589 cache-misses=0
[sample=61] cpu=0 bench=iir cycles=3522 instructions=2589 cache-misses=0
[sample=62] cpu=0 bench=iir cycles=3503 instructions=2589 cache-misses=0
[sample=63] cpu=0 bench=iir cycles=3509 instructions=2589 cache-misses=0
[sample=64] cpu=0 bench=iir cycles=3499 instructions=2589 cache-misses=0
[sample=65] cpu=0 bench=iir cycles=3530 instructions=2589 cache-misses=0
[sample=66] cpu=0 bench=iir cycles=3510 instructions=2589 cache-misses=1
[sample=67] cpu=0 bench=iir cycles=3492 instructions=2589 cache-misses=0
[sample=68] cpu=0 bench=iir cycles=3537 instructions=2589 cache-misses=0
[sample=69] cpu=0 bench=iir cycles=3527 instructions=2589 cache-misses=0
[sample=70] cpu=0 bench=iir cycles=3512 instructions=2589 cache-misses=0
[sample=71] cpu=0 bench=iir cycles=3501 instructions=2589 cache-misses=0
[sample=72] cpu=0 bench=iir cycles=3460 instructions=2589 cache-misses=0
[sample=73] cpu=0 bench=iir cycles=3489 instructions=2589 cache-misses=0
[sample=74] cpu=0 bench=iir cycles=3502 instructions=2588 cache-misses=1
[sample=75] cpu=0 bench=iir cycles=3504 instructions=2589 cache-misses=1
[sample=76] cpu=0 bench=iir cycles=3514 instructions=2588 cache-misses=1
[sample=77] cpu=0 bench=iir cycles=3453 instructions=2589 cache-misses=0
[sample=78] cpu=0 bench=iir cycles=3500 instructions=2589 cache-misses=0
[sample=79] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=1
[sample=80] cpu=0 bench=iir cycles=3537 instructions=2588 cache-misses=0
[sample=81] cpu=0 bench=iir cycles=3508 instructions=2588 cache-misses=0
[sample=82] cpu=0 bench=iir cycles=3548 instructions=2588 cache-misses=0
[sample=83] cpu=0 bench=iir cycles=3474 instructions=2588 cache-misses=0
[sample=84] cpu=0 bench=iir cycles=3479 instructions=2588 cache-misses=0
[sample=85] cpu=0 bench=iir cycles=3533 instructions=2588 cache-misses=0
[sample=86] cpu=0 bench=iir cycles=3510 instructions=2588 cache-misses=0
[sample=87] cpu=0 bench=iir cycles=3516 instructions=2588 cache-misses=0
[sample=88] cpu=0 bench=iir cycles=3489 instructions=2588 cache-misses=0
[sample=89] cpu=0 bench=iir cycles=3468 instructions=2588 cache-misses=0
[sample=90] cpu=0 bench=iir cycles=3510 instructions=2588 cache-misses=0
[sample=91] cpu=0 bench=iir cycles=3523 instructions=2588 cache-misses=0
[sample=92] cpu=0 bench=iir cycles=3500 instructions=2588 cache-misses=0
[sample=93] cpu=0 bench=iir cycles=3469 instructions=2588 cache-misses=0
[sample=94] cpu=0 bench=iir cycles=3491 instructions=2588 cache-misses=0
[sample=95] cpu=0 bench=iir cycles=3484 instructions=2588 cache-misses=0
[sample=96] cpu=0 bench=iir cycles=3499 instructions=2588 cache-misses=1
[sample=97] cpu=0 bench=iir cycles=3497 instructions=2588 cache-misses=0
[sample=98] cpu=0 bench=iir cycles=3492 instructions=2588 cache-misses=1
[sample=99] cpu=0 bench=iir cycles=3476 instructions=2588 cache-misses=0

# Statistics over 100 samples on cpu0 bench=iir (background load on cpu1..cpu2)
# event                          min                  max                  avg               median
  cycles                        3451                34554              3808.09              3495.50
  instructions                  2588                 2593              2588.27              2588.00
  cache-misses                     0                   15                 0.53                 0.00
